MUNICIPIO_CODIGO,MUNICIPIO_NOMBRE
0101,Guatemala
0102,Santa Catarina Pinula
0103,San José Pinula
0104,San José del Golfo
0105,Palencia
0106,Chinautla
0107,San Pedro Ayampuc
0108,Mixco
0109,San Pedro Sacatepéquez
0110,San Juan Sacatepéquez
0111,San Raymundo
0112,Chuarrancho
0113,Fraijanes
0114,Amatitlán
0115,Villa Nueva
0116,Villa Canales
0117,Petapa
0201,Guastatoya
0202,Morazán
0203,San Agustín Acasaguastlán
0204,San Cristóbal Acasaguastlán
0205,El Jícaro
0206,Sansare
0207,Sanarate
0208,San Antonio la Paz
0301,Antigua Guatemala
0302,Jocotenango
0303,Pastores
0304,Sumpango
0305,Santo Domingo Xenacoj
0306,Santiago Sacatepéquez
0307,San Bartolomé Milpas Altas
0308,San Lucas Sacatepéquez
0309,Santa Lucía Milpas Altas
0310,Magdalena Milpas Altas
0311,Santa María de Jesús
0312,Ciudad Vieja
0313,San Miguel Dueñas
0314,Alotenango
0315,San Antonio Aguas Calientes
0316,Santa Catarina Barahona
0401,Chimaltenango
0402,San José Poaquil
0403,San Martín Jilotepeque
0404,Comalapa
0405,Santa Apolonia
0406,Tecpán Guatemala
0407,Patzún
0408,Pochuta
0409,Patzicía
0410,Santa Cruz Balanyá
0411,Acatenango
0412,Yepocapa
0413,San Andrés Itzapa
0414,Parramos
0415,Zaragoza
0416,El Tejar
0501,Escuintla
0502,Santa Lucía Cotzumalguapa
0503,La Democracia
0504,Siquinalá
0505,Masagua
0506,Tiquisate
0507,La Gomera
0508,Guanagazapa
0509,San José
0510,Iztapa
0511,Palín
0512,San Vicente Pacaya
0513,Nueva Concepción
0601,Cuilapa
0602,Barberena
0603,Santa Rosa de Lima
0604,Casillas
0605,San Rafael las Flores
0606,Oratorio
0607,San Juan Tecuaco
0608,Chiquimulilla
0609,Taxisco
0610,Santa María Ixhuatán
0611,Guazacapán
0612,Santa Cruz Naranjo
0613,Pueblo Nuevo Viñas
0614,Nueva Santa Rosa
0701,Sololá
0702,San José Chacayá
0703,Santa María Visitación
0704,Santa Lucía Utatlán
0705,Nahualá
0706,Santa Catarina Ixtahuacán
0707,Santa Clara la Laguna
0708,Concepción
0709,San Andrés Semetabaj
0710,Panajachel
0711,Santa Catarina Palopó
