Depreg;Mupreg;Mesreg;Anoreg;Diaocu;Mesocu;Anoocu;Depocu;Mupocu;Edadhom;Edadmuj;Gethom;Getmuj;Nachom;Nacmuj;Ocuhom;Ocumuj;Mever;Anover
1.0;0101;5.0;10;4.0;2.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;1.0;2000.0
1.0;0102;3.0;09;4.0;3.0;09;1.0;0101;36.0;26.0;9.0;9.0;320.0;320.0;9999.0;9999.0;3.0;2000.0
1.0;0102;4.0;09;4.0;3.0;09;1.0;0101;36.0;26.0;9.0;9.0;320.0;320.0;9999.0;9999.0;3.0;2000.0
4.0;0401;7.0;09;4.0;5.0;09;1.0;0101;999.0;29.0;9.0;9.0;320.0;320.0;9999.0;9999.0;3.0;2000.0
1.0;0117;6.0;09;5.0;5.0;09;1.0;0101;33.0;34.0;2.0;2.0;320.0;320.0;9712.0;3343.0;4.0;2000.0
1.0;0108;6.0;10;5.0;10.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;8.0;2000.0
1.0;0108;6.0;10;7.0;12.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;12.0;2000.0
1.0;0108;11.0;09;8.0;8.0;09;1.0;0101;20.0;27.0;9.0;2.0;320.0;320.0;7231.0;9712.0;6.0;2000.0
1.0;0106;3.0;10;9.0;12.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;3.0;2000.0
1.0;0108;1.0;10;9.0;12.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;11.0;2000.0
1.0;0106;2.0;10;10.0;3.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;2.0;2000.0
1.0;0101;6.0;09;12.0;5.0;09;1.0;0101;31.0;27.0;9.0;9.0;320.0;320.0;9712.0;4311.0;11.0;2000.0
1.0;0106;6.0;09;12.0;5.0;09;1.0;0101;39.0;32.0;9.0;9.0;320.0;320.0;9999.0;9999.0;3.0;2000.0
1.0;0101;4.0;09;13.0;2.0;09;1.0;0101;36.0;19.0;9.0;9.0;320.0;320.0;7115.0;9712.0;2.0;2000.0
1.0;0101;12.0;09;13.0;10.0;09;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9999.0;9999.0;4.0;2000.0
11.0;1108;7.0;09;14.0;4.0;09;1.0;0101;20.0;20.0;9.0;9.0;320.0;320.0;9999.0;9999.0;2.0;2000.0
1.0;0108;4.0;10;14.0;7.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;4.0;2000.0
7.0;0711;7.0;09;14.0;1.0;09;1.0;0101;29.0;28.0;9.0;9.0;320.0;320.0;9712.0;9712.0;9.0;2000.0
1.0;0101;10.0;09;17.0;7.0;09;1.0;0101;39.0;36.0;9.0;9.0;320.0;320.0;9712.0;2341.0;10.0;2000.0
5.0;0504;10.0;09;17.0;8.0;09;1.0;0101;21.0;17.0;9.0;9.0;320.0;320.0;9712.0;9711.0;3.0;2000.0
1.0;0116;8.0;09;19.0;2.0;09;1.0;0101;35.0;37.0;9.0;2.0;320.0;320.0;5221.0;9999.0;1.0;2000.0
9.0;0904;10.0;09;22.0;9.0;09;1.0;0101;23.0;17.0;9.0;9.0;320.0;320.0;9999.0;9999.0;3.0;2000.0
3.0;0306;4.0;09;23.0;2.0;09;1.0;0101;18.0;18.0;9.0;9.0;320.0;320.0;4311.0;9712.0;2.0;2000.0
5.0;0507;9.0;09;23.0;6.0;09;1.0;0101;999.0;18.0;9.0;9.0;320.0;320.0;9999.0;9999.0;9.0;2000.0
1.0;0107;4.0;10;25.0;9.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;11.0;2000.0
1.0;0116;12.0;09;26.0;8.0;09;1.0;0101;49.0;51.0;9.0;9.0;320.0;320.0;9999.0;9999.0;3.0;2000.0
1.0;0101;7.0;09;29.0;5.0;09;1.0;0101;23.0;25.0;9.0;9.0;320.0;320.0;9712.0;9712.0;2.0;2000.0
1.0;0101;11.0;09;30.0;10.0;09;1.0;0101;999.0;26.0;9.0;9.0;320.0;320.0;8322.0;9711.0;6.0;2000.0
1.0;0108;5.0;10;30.0;11.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;6.0;2000.0
1.0;0101;3.0;10;31.0;8.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;1.0;2000.0
1.0;0106;9.0;09;2.0;9.0;09;1.0;0101;20.0;19.0;9.0;9.0;320.0;320.0;9999.0;9999.0;1.0;2001.0
1.0;0106;10.0;09;2.0;9.0;09;1.0;0101;20.0;19.0;9.0;9.0;320.0;320.0;9999.0;9999.0;1.0;2001.0
1.0;0117;2.0;10;4.0;12.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;5.0;2001.0
1.0;0101;3.0;10;5.0;11.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;2.0;2001.0
1.0;0103;3.0;09;5.0;2.0;09;1.0;0101;40.0;34.0;2.0;2.0;320.0;320.0;5221.0;9712.0;12.0;2001.0
1.0;0108;4.0;10;6.0;11.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;9.0;2001.0
5.0;0501;2.0;10;7.0;10.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;8.0;2001.0
1.0;0110;8.0;09;7.0;5.0;09;1.0;0101;18.0;16.0;9.0;9.0;320.0;320.0;9999.0;9999.0;1.0;2001.0
1.0;0116;2.0;10;10.0;10.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;8.0;2001.0
1.0;0108;7.0;09;13.0;5.0;09;1.0;0101;21.0;19.0;9.0;9.0;320.0;320.0;9712.0;9711.0;2.0;2001.0
1.0;0108;8.0;09;13.0;3.0;09;1.0;0101;28.0;29.0;9.0;9.0;320.0;320.0;9712.0;9712.0;11.0;2001.0
3.0;0308;8.0;09;14.0;7.0;09;1.0;0101;25.0;25.0;9.0;9.0;320.0;320.0;9999.0;9999.0;8.0;2001.0
1.0;0101;11.0;09;16.0;9.0;09;1.0;0101;29.0;28.0;9.0;9.0;320.0;320.0;9712.0;9712.0;1.0;2001.0
10.0;1015;2.0;09;16.0;1.0;09;1.0;0101;20.0;25.0;9.0;2.0;320.0;320.0;6111.0;9711.0;1.0;2001.0
20.0;2008;5.0;10;17.0;9.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;2.0;2001.0
1.0;0102;5.0;10;17.0;11.0;09;1.0;0101;999.0;999.0;9.0;9.0;99.0;99.0;9999.0;9999.0;9.0;2001.0
1.0;0101;5.0;09;20.0;3.0;09;1.0;0101;35.0;35.0;9.0;9.0;320.0;320.0;5221.0;1219.0;8.0;2001.0
