depreg;mupreg;mesreg;añoreg;diaocu;mesocu;añoocu;depocu;mupocu;edadhom;edadmuj;grethom;gretmuj;nachom;nacmuj;escohom;escomuj;ocupahom;ocupamuj
1.0;0101;8.0;2010.0;4.0;5.0;2010.0;1.0;0101;41.0;35.0;9.0;9.0;320.0;320.0;9.0;9.0;1120.0;1120.0
1.0;0101;11.0;2010.0;6.0;10.0;2010.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;2161.0;1219.0
1.0;0101;3.0;2010.0;16.0;2.0;2010.0;1.0;0101;42.0;31.0;9.0;9.0;320.0;320.0;4.0;9.0;2166.0;1219.0
1.0;0101;10.0;2010.0;25.0;8.0;2010.0;1.0;0101;47.0;36.0;9.0;9.0;320.0;320.0;1.0;1.0;5221.0;1219.0
1.0;0101;8.0;2010.0;20.0;5.0;2010.0;1.0;0101;999.0;999.0;9.0;9.0;840.0;484.0;9.0;9.0;9712.0;1219.0
16.0;1601;3.0;2010.0;28.0;1.0;2010.0;16.0;1601;23.0;37.0;2.0;2.0;320.0;320.0;9.0;3.0;9712.0;1221.0
1.0;0101;10.0;2010.0;23.0;6.0;2010.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;5249.0;1346.0
1.0;0101;11.0;2010.0;24.0;8.0;2010.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;1219.0;1411.0
1.0;0101;9.0;2010.0;15.0;7.0;2010.0;1.0;0101;999.0;999.0;2.0;2.0;320.0;320.0;5.0;5.0;2113.0;2131.0
1.0;0101;11.0;2010.0;8.0;9.0;2010.0;1.0;0101;33.0;33.0;9.0;9.0;320.0;320.0;9.0;9.0;2611.0;2141.0
16.0;1601;4.0;2011.0;26.0;10.0;2010.0;16.0;1601;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;9712.0;2141.0
1.0;0101;10.0;2010.0;9.0;9.0;2010.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;2142.0;2142.0
1.0;0108;3.0;2010.0;8.0;2.0;2010.0;1.0;0101;32.0;30.0;9.0;9.0;320.0;320.0;5.0;5.0;2141.0;2145.0
1.0;0101;10.0;2010.0;25.0;3.0;2010.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;9712.0;2145.0
1.0;0101;7.0;2010.0;4.0;5.0;2010.0;1.0;0101;33.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;9999.0;2149.0
1.0;0101;9.0;2010.0;26.0;5.0;2010.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;840.0;9.0;9.0;2161.0;2161.0
1.0;0101;10.0;2010.0;3.0;9.0;2010.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;9712.0;2161.0
1.0;0101;1.0;2011.0;12.0;10.0;2010.0;1.0;0101;32.0;32.0;2.0;9.0;320.0;320.0;5.0;4.0;2421.0;2166.0
9.0;0901;2.0;2011.0;10.0;6.0;2010.0;9.0;0901;32.0;28.0;9.0;9.0;320.0;320.0;4.0;9.0;4311.0;2166.0
1.0;0101;10.0;2010.0;28.0;5.0;2010.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;5221.0;2166.0
1.0;0101;5.0;2011.0;29.0;3.0;2010.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;9712.0;2166.0
1.0;0101;4.0;2010.0;22.0;2.0;2010.0;1.0;0101;27.0;27.0;9.0;9.0;320.0;320.0;1.0;1.0;2211.0;2211.0
1.0;0101;1.0;2011.0;14.0;9.0;2010.0;20.0;2001;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;2211.0;2211.0
1.0;0101;1.0;2011.0;25.0;5.0;2010.0;1.0;0101;32.0;33.0;9.0;9.0;320.0;320.0;5.0;5.0;2211.0;2211.0
1.0;0101;3.0;2011.0;28.0;12.0;2010.0;1.0;0115;37.0;34.0;2.0;2.0;320.0;320.0;5.0;5.0;9999.0;2211.0
1.0;0101;10.0;2010.0;9.0;9.0;2010.0;1.0;0101;34.0;33.0;9.0;9.0;320.0;320.0;1.0;4.0;2166.0;2212.0
