DEPREG;MUPREG;MESREG;AÑOREG;DIAOCU;MESOCU;DEPOCU;MUPOCU;EDADHOM;EDADMUJ;GETHOM;GETMUJ;NACHOM;NACMUJ;ESCHOM;ESCMUJ;OCUHOM;OCUMUJ
17.0;1708;3.0;2012.0;16.0;2.0;17.0;1703;999.0;33.0;9.0;2.0;320.0;320.0;9.0;4.0;9712;110
12.0;1213;5.0;2012.0;3.0;2.0;12.0;1215;35.0;30.0;2.0;2.0;320.0;320.0;5.0;9.0;110;1120
1.0;0101;4.0;2012.0;27.0;3.0;1.0;0101;33.0;32.0;9.0;2.0;320.0;320.0;5.0;5.0;2142;1120
14.0;1416;6.0;2012.0;28.0;5.0;14.0;1401;31.0;28.0;9.0;2.0;320.0;320.0;1.0;4.0;8189;1120
1.0;0101;10.0;2012.0;12.0;3.0;1.0;0101;27.0;29.0;2.0;2.0;320.0;320.0;4.0;5.0;1346;1212
1.0;0101;2.0;2012.0;9.0;1.0;1.0;0101;37.0;30.0;9.0;9.0;320.0;320.0;9.0;9.0;1219;1219
1.0;0101;8.0;2012.0;11.0;6.0;1.0;0101;41.0;42.0;2.0;9.0;320.0;320.0;5.0;5.0;1219;1219
1.0;0108;10.0;2012.0;12.0;9.0;1.0;0101;999.0;999.0;9.0;9.0;222.0;320.0;9.0;9.0;1219;1219
1.0;0101;11.0;2012.0;3.0;8.0;1.0;0101;36.0;30.0;2.0;2.0;320.0;320.0;5.0;5.0;2421;1219
1.0;0101;9.0;2012.0;29.0;2.0;1.0;0101;46.0;37.0;2.0;2.0;320.0;320.0;5.0;5.0;2511;1219
1.0;0101;7.0;2012.0;20.0;4.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;2619;1219
1.0;0101;8.0;2012.0;16.0;5.0;1.0;0101;38.0;35.0;2.0;2.0;320.0;320.0;9.0;5.0;3521;1219
9.0;0901;4.0;2013.0;30.0;5.0;9.0;0901;35.0;35.0;1.0;2.0;320.0;320.0;4.0;4.0;5249;1219
22.0;2214;1.0;2013.0;13.0;2.0;22.0;2201;999.0;33.0;9.0;2.0;840.0;320.0;9.0;4.0;7232;1219
3.0;0306;4.0;2012.0;10.0;4.0;1.0;0115;36.0;38.0;2.0;2.0;320.0;320.0;3.0;4.0;9712;1219
5.0;0501;10.0;2012.0;25.0;7.0;5.0;0501;27.0;27.0;2.0;2.0;320.0;320.0;5.0;5.0;9712;1219
16.0;1601;4.0;2013.0;20.0;9.0;16.0;1601;29.0;26.0;1.0;2.0;320.0;320.0;9.0;4.0;9712;1219
1.0;0101;3.0;2012.0;21.0;2.0;1.0;0101;35.0;33.0;2.0;2.0;320.0;320.0;9.0;5.0;9712;1219
1.0;0101;3.0;2012.0;26.0;1.0;1.0;0101;45.0;41.0;2.0;2.0;320.0;320.0;3.0;5.0;9998;1219
1.0;0108;3.0;2012.0;13.0;1.0;1.0;0101;41.0;35.0;9.0;9.0;320.0;320.0;9.0;9.0;9998;1219
1.0;0114;11.0;2012.0;7.0;8.0;1.0;0114;34.0;33.0;2.0;2.0;320.0;320.0;4.0;4.0;7112;1221
1.0;0101;11.0;2012.0;18.0;10.0;1.0;0101;39.0;32.0;9.0;2.0;320.0;320.0;1.0;4.0;9712;1221
1.0;0108;6.0;2012.0;6.0;3.0;1.0;0108;37.0;36.0;2.0;2.0;320.0;320.0;5.0;9.0;2431;2113
10.0;1001;3.0;2012.0;20.0;2.0;10.0;1001;32.0;30.0;2.0;2.0;320.0;320.0;5.0;5.0;2132;2132
1.0;0101;1.0;2013.0;6.0;9.0;1.0;0101;32.0;28.0;9.0;2.0;320.0;320.0;5.0;5.0;2142;2145
1.0;0101;5.0;2012.0;23.0;2.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;2144;2149
1.0;0101;10.0;2012.0;3.0;10.0;1.0;0115;31.0;28.0;9.0;2.0;320.0;320.0;9.0;5.0;2149;2149
1.0;0101;1.0;2013.0;15.0;11.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;2152;2151
1.0;0101;9.0;2012.0;25.0;7.0;1.0;0101;30.0;29.0;9.0;9.0;320.0;320.0;5.0;9.0;2211;2152
14.0;1406;2.0;2013.0;18.0;10.0;1.0;0101;32.0;31.0;2.0;2.0;320.0;320.0;4.0;5.0;2161;2161
1.0;0101;11.0;2012.0;19.0;7.0;1.0;0101;28.0;29.0;2.0;2.0;320.0;320.0;5.0;9.0;2161;2161
1.0;0101;1.0;2013.0;22.0;11.0;1.0;0101;41.0;38.0;2.0;9.0;320.0;320.0;5.0;9.0;2161;2161
1.0;0101;2.0;2013.0;12.0;9.0;1.0;0101;999.0;49.0;9.0;9.0;320.0;320.0;9.0;5.0;2341;2161
1.0;0101;7.0;2012.0;29.0;2.0;1.0;0101;25.0;23.0;9.0;2.0;320.0;320.0;1.0;5.0;9712;2161
1.0;0115;7.0;2012.0;18.0;4.0;1.0;0115;27.0;32.0;9.0;2.0;320.0;320.0;1.0;5.0;9712;2161
1.0;0101;11.0;2012.0;30.0;4.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;1219;2166
1.0;0102;8.0;2012.0;24.0;4.0;1.0;0101;47.0;47.0;2.0;2.0;320.0;320.0;9.0;9.0;2144;2166
1.0;0101;11.0;2012.0;10.0;8.0;1.0;0101;26.0;23.0;2.0;2.0;320.0;320.0;4.0;5.0;2166;2166
1.0;0101;6.0;2012.0;30.0;4.0;1.0;0101;38.0;37.0;2.0;2.0;320.0;320.0;5.0;5.0;2212;2166
1.0;0114;6.0;2013.0;27.0;11.0;1.0;0101;48.0;45.0;2.0;2.0;320.0;320.0;5.0;5.0;3434;2166
1.0;0101;2.0;2012.0;19.0;1.0;1.0;0101;33.0;31.0;2.0;2.0;320.0;320.0;9.0;5.0;5221;2166
1.0;0101;5.0;2012.0;5.0;1.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;2144;2211
1.0;0101;9.0;2012.0;17.0;8.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;2145;2211
1.0;0101;6.0;2012.0;27.0;3.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;5.0;9.0;2211;2211
1.0;0101;2.0;2013.0;5.0;10.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;2211;2211
1.0;0101;8.0;2012.0;6.0;2.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;2211;2211
1.0;0101;10.0;2012.0;5.0;7.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;2211;2211
1.0;0101;5.0;2012.0;22.0;3.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;2211;2211
1.0;0101;12.0;2012.0;20.0;6.0;1.0;0101;32.0;31.0;2.0;9.0;320.0;320.0;5.0;5.0;2212;2211
1.0;0101;7.0;2012.0;6.0;3.0;1.0;0101;29.0;31.0;2.0;2.0;320.0;320.0;5.0;5.0;2212;2211
1.0;0101;5.0;2012.0;5.0;1.0;2.0;0201;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;3412;2211
5.0;0502;8.0;2012.0;13.0;3.0;5.0;0502;999.0;999.0;2.0;2.0;320.0;320.0;1.0;9.0;5221;2211
1.0;0101;8.0;2012.0;16.0;4.0;1.0;0101;999.0;52.0;9.0;2.0;320.0;320.0;9.0;5.0;5221;2211
7.0;0710;12.0;2012.0;2.0;11.0;7.0;0701;43.0;44.0;9.0;9.0;320.0;276.0;5.0;9.0;2211;2221
1.0;0101;8.0;2012.0;31.0;5.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;2221;2221
13.0;1309;10.0;2012.0;3.0;8.0;13.0;1309;22.0;23.0;9.0;9.0;320.0;320.0;4.0;4.0;2341;2221
11.0;1101;7.0;2012.0;6.0;2.0;11.0;1101;31.0;34.0;9.0;9.0;320.0;320.0;1.0;9.0;4311;2221
1.0;0101;1.0;2013.0;4.0;10.0;1.0;0101;44.0;36.0;2.0;2.0;320.0;320.0;4.0;9.0;4311;2221
1.0;0101;4.0;2012.0;8.0;2.0;1.0;0101;999.0;999.0;9.0;2.0;320.0;840.0;9.0;9.0;6111;2221
6.0;0601;4.0;2012.0;6.0;1.0;6.0;0601;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;6111;2221
1.0;0101;4.0;2013.0;21.0;11.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;7115;2221
12.0;1202;6.0;2012.0;20.0;1.0;12.0;1215;53.0;51.0;2.0;2.0;320.0;320.0;2.0;4.0;7531;2221
1.0;0114;9.0;2012.0;18.0;6.0;1.0;0114;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;8322;2221
1.0;0101;1.0;2013.0;21.0;8.0;1.0;0101;999.0;43.0;9.0;2.0;320.0;320.0;9.0;4.0;9712;2221
1.0;0101;4.0;2013.0;28.0;12.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;9712;2221
9.0;0901;3.0;2013.0;3.0;9.0;9.0;0901;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;9712;2221
16.0;1609;11.0;2012.0;1.0;10.0;16.0;1601;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;9712;2221
16.0;1607;12.0;2012.0;11.0;1.0;16.0;1601;35.0;34.0;9.0;2.0;320.0;320.0;9.0;4.0;9999;2221
15.0;1503;2.0;2012.0;11.0;1.0;16.0;1601;999.0;34.0;9.0;2.0;320.0;320.0;9.0;4.0;9999;2221
12.0;1218;4.0;2013.0;19.0;12.0;10.0;1001;28.0;26.0;2.0;2.0;320.0;320.0;9.0;9.0;9999;2221
1.0;0101;1.0;2013.0;30.0;10.0;1.0;0101;999.0;999.0;9.0;9.0;1026.0;320.0;9.0;9.0;2412;2250
1.0;0108;3.0;2013.0;2.0;10.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;2132;2261
9.0;0902;10.0;2012.0;16.0;8.0;8.0;0801;34.0;30.0;1.0;2.0;320.0;320.0;9.0;4.0;9712;2262
1.0;0101;4.0;2012.0;23.0;1.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;340.0;9.0;9.0;110;2265
11.0;1102;4.0;2013.0;15.0;3.0;7.0;0715;999.0;999.0;9.0;9.0;320.0;188.0;9.0;9.0;2132;2265
1.0;0101;10.0;2012.0;11.0;9.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;2152;2265
1.0;0101;2.0;2013.0;21.0;9.0;1.0;0101;30.0;28.0;9.0;9.0;320.0;320.0;9.0;9.0;2659;2265
10.0;1001;10.0;2012.0;3.0;10.0;10.0;1001;64.0;57.0;2.0;2.0;320.0;320.0;5.0;9.0;2211;2320
3.0;0307;8.0;2012.0;15.0;5.0;3.0;0301;33.0;31.0;2.0;2.0;320.0;320.0;5.0;5.0;4311;2320
1.0;0101;11.0;2012.0;22.0;8.0;1.0;0101;32.0;38.0;2.0;2.0;320.0;320.0;4.0;5.0;8322;2320
