DEPREG;MUPREG;MESREG;AÑOREG;DIAOCU;MESOCU;DEPOCU;MUPOCU;EDADHOM;EDADMUJ;PUEHOM;PUEMUJ;NACHOM;NACMUJ;ESCHOM;ESCMUJ;CIUOHOM;CIUOMUJ
1.0;0108;7.0;2013.0;25.0;3.0;1.0;0101;55.0;35.0;4.0;9.0;320.0;320.0;6.0;9.0;22;32
22.0;2214;9.0;2013.0;27.0;8.0;22.0;2201;46.0;36.0;4.0;4.0;320.0;320.0;4.0;9.0;23;32
9.0;0917;10.0;2013.0;26.0;7.0;9.0;0920;27.0;28.0;4.0;9.0;320.0;320.0;4.0;9.0;33;32
1.0;0101;7.0;2013.0;29.0;4.0;1.0;0114;42.0;35.0;4.0;4.0;320.0;320.0;4.0;9.0;43;32
1.0;0101;1.0;2013.0;4.0;1.0;1.0;0101;43.0;34.0;4.0;4.0;320.0;320.0;4.0;9.0;72;32
6.0;0604;8.0;2013.0;4.0;7.0;22.0;2201;29.0;23.0;9.0;4.0;320.0;320.0;1.0;9.0;83;32
2.0;0201;8.0;2013.0;16.0;7.0;2.0;0201;59.0;33.0;9.0;4.0;320.0;320.0;1.0;9.0;92;32
1.0;0101;11.0;2013.0;1.0;10.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;9999.0;9.0;9.0;NEOG;32
6.0;0601;9.0;2013.0;21.0;8.0;6.0;0601;999.0;27.0;9.0;4.0;320.0;320.0;9.0;9.0;IGNORADO;32
1.0;0101;1.0;2014.0;9.0;5.0;4.0;0401;34.0;32.0;4.0;9.0;320.0;320.0;5.0;9.0;12;NEOG
1.0;0101;2.0;2013.0;22.0;1.0;1.0;0101;41.0;41.0;9.0;9.0;320.0;320.0;9.0;9.0;21;NEOG
1.0;0101;8.0;2013.0;17.0;7.0;1.0;0101;52.0;46.0;9.0;9.0;320.0;320.0;9.0;9.0;21;NEOG
1.0;0101;10.0;2013.0;14.0;8.0;1.0;0101;47.0;40.0;9.0;9.0;840.0;320.0;9.0;9.0;21;NEOG
1.0;0101;8.0;2013.0;14.0;3.0;1.0;0101;31.0;33.0;4.0;9.0;320.0;320.0;5.0;9.0;21;NEOG
9.0;0901;11.0;2013.0;15.0;2.0;9.0;0901;37.0;25.0;9.0;9.0;320.0;320.0;9.0;9.0;22;NEOG
11.0;1104;11.0;2013.0;11.0;7.0;16.0;1601;38.0;34.0;4.0;9.0;320.0;320.0;5.0;9.0;22;NEOG
10.0;1015;7.0;2013.0;8.0;5.0;11.0;1101;54.0;50.0;4.0;9.0;320.0;320.0;4.0;9.0;23;NEOG
1.0;0101;7.0;2013.0;16.0;5.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;23;NEOG
8.0;0801;10.0;2013.0;1.0;8.0;8.0;0801;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;23;NEOG
9.0;0906;10.0;2013.0;12.0;9.0;9.0;0901;59.0;54.0;9.0;9.0;320.0;320.0;9.0;9.0;23;NEOG
1.0;0101;10.0;2013.0;18.0;9.0;1.0;0101;23.0;24.0;4.0;9.0;320.0;840.0;4.0;9.0;24;NEOG
