DEPREG;MUPREG;MESREG;AÑOREG;DIAOCU;MESOCU;AÑOOCU;DEPOCU;MUPOCU;EDADHOM;EDADMUJ;PPERHOM;PPERMUJ;NACHOM;NACMUJ;ESCHOM;ESCMUJ;CIUOHOM;CIUOMUJ
1.0;0113;6.0;2019.0;5.0;12.0;2018.0;18.0;1804;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
5.0;0507;11.0;2018.0;24.0;7.0;2018.0;5.0;0507;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
1.0;0101;4.0;2018.0;2.0;4.0;2018.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
5.0;0501;6.0;2018.0;9.0;3.0;2018.0;5.0;0501;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
18.0;1801;8.0;2018.0;3.0;4.0;2018.0;22.0;2205;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
1.0;0101;10.0;2018.0;27.0;3.0;2018.0;1.0;0106;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
5.0;0507;3.0;2018.0;1.0;3.0;2018.0;5.0;0507;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
11.0;1103;5.0;2018.0;19.0;4.0;2018.0;11.0;1103;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
9.0;0917;10.0;2018.0;13.0;8.0;2018.0;9.0;0917;34.0;999.0;4.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
18.0;1802;9.0;2018.0;23.0;4.0;2018.0;18.0;1804;36.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
19.0;1905;7.0;2018.0;4.0;6.0;2018.0;19.0;1905;37.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
11.0;1101;10.0;2018.0;20.0;7.0;2018.0;14.0;1420;42.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
20.0;2007;4.0;2018.0;5.0;1.0;2018.0;20.0;2007;50.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
1.0;0104;6.0;2019.0;21.0;8.0;2018.0;1.0;0106;55.0;999.0;9.0;9.0;222.0;320.0;1.0;9.0;99.0;99.0
1.0;0115;1.0;2019.0;26.0;10.0;2018.0;3.0;0301;67.0;999.0;9.0;9.0;170.0;320.0;1.0;9.0;99.0;99.0
1.0;0101;6.0;2019.0;13.0;3.0;2018.0;3.0;0301;999.0;999.0;9.0;9.0;40.0;320.0;1.0;9.0;99.0;99.0
14.0;1413;7.0;2018.0;15.0;5.0;2018.0;13.0;1301;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
10.0;1001;8.0;2018.0;11.0;7.0;2018.0;10.0;1001;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
1.0;0101;8.0;2018.0;6.0;6.0;2018.0;14.0;1401;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
1.0;0101;8.0;2018.0;7.0;5.0;2018.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
1.0;0101;8.0;2018.0;18.0;7.0;2018.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
15.0;1501;9.0;2018.0;2.0;7.0;2018.0;15.0;1501;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
9.0;0922;10.0;2018.0;11.0;9.0;2018.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
11.0;1101;11.0;2018.0;3.0;7.0;2018.0;11.0;1101;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
1.0;0101;12.0;2018.0;21.0;9.0;2018.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
14.0;1401;1.0;2019.0;26.0;10.0;2018.0;14.0;1401;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
9.0;0920;2.0;2019.0;15.0;10.0;2018.0;11.0;1101;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
8.0;0802;4.0;2018.0;23.0;2.0;2018.0;8.0;0802;999.0;999.0;1.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
18.0;1802;5.0;2018.0;30.0;4.0;2018.0;18.0;1802;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
8.0;0802;11.0;2018.0;3.0;5.0;2018.0;8.0;0802;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
14.0;1403;2.0;2018.0;15.0;1.0;2018.0;14.0;1403;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
4.0;0401;9.0;2018.0;13.0;3.0;2018.0;4.0;0403;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
18.0;1804;9.0;2018.0;21.0;8.0;2018.0;20.0;2003;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
1.0;0101;11.0;2018.0;28.0;8.0;2018.0;1.0;0103;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
12.0;1215;5.0;2019.0;26.0;11.0;2018.0;1.0;0103;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
18.0;1804;4.0;2018.0;19.0;2.0;2018.0;18.0;1804;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
18.0;1804;8.0;2018.0;9.0;8.0;2018.0;18.0;1804;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
18.0;1804;8.0;2018.0;25.0;7.0;2018.0;18.0;1804;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
14.0;1404;11.0;2018.0;11.0;7.0;2018.0;14.0;1404;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
18.0;1804;11.0;2018.0;18.0;10.0;2018.0;18.0;1804;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
15.0;1503;1.0;2019.0;24.0;10.0;2018.0;15.0;1504;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
13.0;1304;3.0;2019.0;21.0;12.0;2018.0;13.0;1304;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
21.0;2101;8.0;2018.0;20.0;7.0;2018.0;22.0;2205;999.0;999.0;4.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
9.0;0903;2.0;2019.0;10.0;10.0;2018.0;11.0;1105;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
22.0;2205;4.0;2019.0;19.0;6.0;2018.0;22.0;2205;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
16.0;1602;8.0;2018.0;23.0;4.0;2018.0;1.0;0105;999.0;999.0;9.0;4.0;320.0;320.0;1.0;9.0;99.0;99.0
5.0;0506;6.0;2018.0;23.0;4.0;2018.0;5.0;0506;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
20.0;2006;6.0;2018.0;7.0;6.0;2018.0;20.0;2006;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
3.0;0309;8.0;2018.0;25.0;7.0;2018.0;5.0;0506;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
1.0;0101;11.0;2018.0;11.0;6.0;2018.0;1.0;0106;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
5.0;0506;5.0;2018.0;19.0;2.0;2018.0;5.0;0506;999.0;999.0;9.0;9.0;320.0;320.0;1.0;9.0;99.0;99.0
