DEPREG;MUPREG;MESREG;AÑOREG;DIAOCU;MESOCU;AÑOOCU;DEPOCU;MUPOCU;EDADHOM;EDADMUJ;PUEHOM;PUEMUJ;NACHOM;NACMUJ;ESCHOM;ESCMUJ;CIUOHOM;CIUOMUJ
1.0;0101;1.0;2023.0;14.0;12.0;2022.0;1.0;0101;38.0;43.0;9.0;4.0;124.0;320.0;9.0;5.0;01;01
1.0;0115;9.0;2022.0;16.0;8.0;2022.0;1.0;0101;30.0;35.0;4.0;4.0;320.0;320.0;9.0;5.0;01;26
19.0;1901;1.0;2023.0;7.0;12.0;2022.0;1.0;0101;33.0;30.0;4.0;4.0;320.0;320.0;5.0;5.0;01;26
1.0;0101;10.0;2022.0;20.0;9.0;2022.0;1.0;0101;34.0;32.0;4.0;4.0;320.0;320.0;5.0;4.0;01;41
1.0;0101;12.0;2022.0;28.0;11.0;2022.0;1.0;0101;31.0;24.0;4.0;4.0;320.0;320.0;5.0;4.0;01;43
1.0;0101;3.0;2023.0;14.0;11.0;2022.0;1.0;0101;32.0;32.0;4.0;4.0;320.0;320.0;5.0;4.0;01;43
1.0;0101;1.0;2023.0;6.0;12.0;2022.0;1.0;0101;35.0;24.0;4.0;4.0;320.0;320.0;5.0;4.0;01;97
11.0;1101;3.0;2022.0;28.0;2.0;2022.0;11.0;1101;34.0;34.0;4.0;4.0;320.0;320.0;9.0;4.0;01;23
20.0;2001;3.0;2023.0;24.0;8.0;2022.0;20.0;2001;999.0;999.0;9.0;9.0;320.0;56.0;9.0;9.0;01;97
11.0;1101;4.0;2022.0;7.0;4.0;2022.0;1.0;0108;39.0;41.0;9.0;4.0;320.0;320.0;9.0;5.0;01;01
1.0;0101;3.0;2022.0;21.0;2.0;2022.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;03;23
1.0;0115;9.0;2022.0;19.0;9.0;2022.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;03;97
15.0;1502;11.0;2022.0;27.0;10.0;2022.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;03;99
19.0;1901;12.0;2022.0;21.0;11.0;2022.0;19.0;1901;27.0;23.0;4.0;9.0;320.0;320.0;9.0;2.0;03;97
6.0;0601;3.0;2022.0;14.0;2.0;2022.0;22.0;2205;46.0;23.0;9.0;9.0;840.0;320.0;9.0;4.0;03;51
22.0;2205;12.0;2022.0;28.0;11.0;2022.0;22.0;2205;27.0;27.0;4.0;4.0;320.0;320.0;4.0;3.0;03;97
1.0;0101;6.0;2023.0;5.0;12.0;2022.0;1.0;0108;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;03;41
1.0;0101;7.0;2022.0;6.0;4.0;2022.0;1.0;0108;999.0;999.0;9.0;9.0;320.0;320.0;9.0;1.0;03;97
1.0;0101;5.0;2022.0;11.0;5.0;2022.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;11;41
1.0;0115;10.0;2022.0;19.0;9.0;2022.0;1.0;0101;29.0;28.0;4.0;4.0;320.0;320.0;4.0;4.0;11;43
1.0;0101;10.0;2022.0;29.0;8.0;2022.0;1.0;0101;34.0;32.0;4.0;4.0;320.0;320.0;5.0;4.0;11;44
9.0;0901;6.0;2022.0;20.0;6.0;2022.0;9.0;0901;35.0;39.0;4.0;5.0;320.0;320.0;9.0;5.0;11;21
16.0;1601;9.0;2022.0;28.0;1.0;2022.0;16.0;1605;44.0;27.0;1.0;1.0;320.0;320.0;4.0;4.0;11;41
9.0;0922;10.0;2022.0;21.0;9.0;2022.0;9.0;0920;35.0;29.0;4.0;4.0;320.0;320.0;6.0;9.0;11;41
9.0;0901;7.0;2022.0;12.0;7.0;2022.0;9.0;0923;34.0;38.0;4.0;4.0;320.0;320.0;5.0;5.0;11;21
1.0;0101;12.0;2022.0;22.0;9.0;2022.0;1.0;0101;47.0;44.0;4.0;4.0;320.0;320.0;9.0;9.0;12;12
18.0;1804;4.0;2022.0;23.0;2.0;2022.0;1.0;0101;43.0;42.0;4.0;4.0;320.0;320.0;5.0;5.0;12;12
1.0;0101;9.0;2022.0;25.0;8.0;2022.0;1.0;0101;37.0;37.0;4.0;4.0;320.0;320.0;6.0;9.0;12;21
1.0;0101;12.0;2022.0;14.0;11.0;2022.0;1.0;0101;53.0;55.0;4.0;4.0;320.0;320.0;5.0;5.0;12;21
19.0;1902;11.0;2022.0;18.0;10.0;2022.0;1.0;0101;48.0;47.0;4.0;4.0;320.0;320.0;5.0;5.0;12;33
1.0;0115;8.0;2022.0;3.0;6.0;2022.0;1.0;0101;42.0;39.0;4.0;4.0;320.0;320.0;5.0;4.0;12;41
1.0;0103;9.0;2022.0;23.0;8.0;2022.0;1.0;0101;37.0;31.0;4.0;4.0;320.0;320.0;5.0;5.0;12;42
1.0;0101;7.0;2022.0;5.0;5.0;2022.0;1.0;0101;28.0;31.0;4.0;4.0;320.0;320.0;5.0;4.0;12;43
1.0;0101;3.0;2023.0;18.0;2.0;2022.0;1.0;0101;47.0;40.0;4.0;4.0;320.0;320.0;5.0;5.0;12;43
1.0;0115;3.0;2022.0;16.0;2.0;2022.0;1.0;0101;49.0;44.0;5.0;4.0;320.0;320.0;5.0;5.0;12;52
1.0;0101;8.0;2022.0;8.0;8.0;2022.0;1.0;0101;48.0;47.0;5.0;4.0;840.0;320.0;6.0;5.0;12;52
1.0;0101;9.0;2022.0;3.0;8.0;2022.0;1.0;0101;39.0;38.0;4.0;9.0;320.0;320.0;6.0;1.0;12;97
1.0;0113;9.0;2022.0;5.0;1.0;2022.0;1.0;0101;999.0;999.0;9.0;9.0;320.0;320.0;9.0;1.0;12;97
1.0;0101;12.0;2022.0;18.0;11.0;2022.0;1.0;0101;32.0;32.0;4.0;4.0;320.0;320.0;4.0;4.0;12;97
1.0;0101;3.0;2023.0;28.0;12.0;2022.0;1.0;0101;40.0;41.0;4.0;5.0;320.0;720.0;6.0;4.0;12;97
1.0;0101;5.0;2022.0;18.0;1.0;2022.0;1.0;0101;999.0;45.0;9.0;9.0;222.0;320.0;9.0;9.0;12;97
1.0;0101;8.0;2022.0;3.0;8.0;2022.0;1.0;0101;43.0;30.0;4.0;5.0;320.0;320.0;5.0;4.0;12;97
3.0;0301;5.0;2022.0;27.0;4.0;2022.0;3.0;0301;29.0;31.0;4.0;4.0;320.0;320.0;5.0;5.0;12;51
9.0;0901;10.0;2022.0;25.0;10.0;2022.0;9.0;0901;35.0;29.0;9.0;4.0;320.0;320.0;5.0;5.0;12;23
9.0;0901;7.0;2022.0;25.0;7.0;2022.0;9.0;0901;37.0;38.0;4.0;4.0;320.0;320.0;5.0;4.0;12;97
1.0;0101;2.0;2022.0;9.0;2.0;2022.0;10.0;1001;46.0;47.0;4.0;4.0;320.0;320.0;9.0;9.0;12;23
18.0;1801;9.0;2022.0;8.0;8.0;2022.0;18.0;1801;27.0;24.0;4.0;4.0;320.0;320.0;9.0;9.0;12;12
1.0;0101;4.0;2022.0;3.0;3.0;2022.0;1.0;0102;39.0;43.0;4.0;4.0;320.0;320.0;5.0;4.0;12;97
1.0;0101;12.0;2022.0;23.0;11.0;2022.0;1.0;0102;45.0;46.0;4.0;4.0;320.0;320.0;5.0;5.0;12;97
1.0;0101;1.0;2023.0;28.0;11.0;2022.0;1.0;0103;51.0;48.0;4.0;4.0;320.0;320.0;5.0;5.0;12;99
19.0;1904;5.0;2022.0;20.0;4.0;2022.0;19.0;1904;35.0;28.0;4.0;4.0;320.0;320.0;4.0;2.0;12;97
21.0;2101;9.0;2022.0;13.0;7.0;2022.0;22.0;2205;48.0;43.0;4.0;9.0;320.0;320.0;5.0;9.0;12;99
11.0;1101;4.0;2022.0;7.0;4.0;2022.0;11.0;1107;35.0;36.0;4.0;4.0;320.0;320.0;5.0;5.0;12;97
13.0;1307;4.0;2023.0;22.0;9.0;2022.0;13.0;1307;27.0;28.0;4.0;1.0;320.0;320.0;6.0;4.0;12;97
1.0;0101;6.0;2022.0;15.0;3.0;2022.0;1.0;0108;999.0;999.0;9.0;9.0;320.0;320.0;9.0;9.0;12;24
